Day, Date, Time, Measurement Time, Filename, S, dS, D, dD, T, dT, Q, dQ, P, dP, tau1, tau2, GF2, GF3, ASingles, RaSingles, ADoubles, RaDoubles, ATriples, RaTriples, AQuads, RaQuads, APents, RaPents, t2dg, SumRa, SumA, detDT, detDTjitter, ampDT, ampDTjitter
Tuesday, May 29, 2018 12:39:44 PM, 4.663614, D:/DDSI_Fresh_Fuel/022/GET_RATES_Files/15min_022-1.sorted.txt, 287976.8904, 0.0957, 15913.4103, 8.8109, -4247.5588, 92.8629, -4736.5255, 143.3319, 393.7053, 2991.0934, -123.8511, 29.1954, 0.6504, 0.4230, 288493.3807, 288493.3807, 3319399.5787, 3343629.2829, 19252632.0204, 19512802.0740, 74982542.0306, 76414777.0614, 220499671.0248, 225946767.1738, 15204.4540, 765332.0, 759786.0
Tuesday, May 29, 2018 12:39:47 PM, 4.537455, D:/DDSI_Fresh_Fuel/022/GET_RATES_Files/15min_022-2.sorted.txt, 288039.1948, 0.1182, 15667.3716, 10.0235, -4395.9091, 59.3092, 5224.6422, 131.8625, 13113.4026, 82.5633, -118.8344, 33.0955, 0.6215, 0.3863, 286934.6159, 286934.6159, 3302283.7881, 3308686.7235, 19141546.4273, 19211589.9834, 74507956.9766, 74889939.2146, 219077713.6740, 220496444.2038, 16198.0984, 740496.0, 739063.0
Tuesday, May 29, 2018 12:39:50 PM, 4.537462, D:/DDSI_Fresh_Fuel/022/GET_RATES_Files/15min_022-3.sorted.txt, 288035.4954, 0.0869, 15778.6459, 8.4458, 489.1327, 802.0464, -581.5031, 935.3794, -20133.1201, 60.3684, -218.9036, 26.3940, 0.6706, 0.4497, 288360.0495, 288360.0495, 3329103.0175, 3336763.3596, 19372973.8462, 19450308.7472, 75801351.6667, 76168137.1053, 224454046.9224, 225506148.0192, 15350.2939, 743551.0, 741844.0
Tuesday, May 29, 2018 12:39:53 PM, 4.537464, D:/DDSI_Fresh_Fuel/022/GET_RATES_Files/15min_022-4.sorted.txt, 287707.3812, 0.0796, 15867.0115, 7.8952, 674.2312, 571.3092, -3393.1049, 225.6971, 13515.6406, 83.0634, -132.7665, 30.0796, 0.6439, 0.4146, 288594.1196, 288594.1196, 3332395.8037, 3345225.7091, 19354274.5951, 19515915.2029, 75374182.3242, 76392425.0006, 221400507.2560, 225703898.7432, 15936.8450, 743360.0, 740509.0
Tuesday, May 29, 2018 12:39:56 PM, 4.663624, D:/DDSI_Fresh_Fuel/022/GET_RATES_Files/15min_022-5.sorted.txt, 287996.4289, 0.0867, 17539.7938, 10.2614, -1374.7274, 250.0106, -7162.3694, 106.8430, -17820.9287, 65.1806, -272.1127, 24.5704, 0.6829, 0.4664, 286192.4955, 286192.4955, 3278366.6923, 3297091.5125, 18913921.3722, 19103855.7074, 73191386.3223, 74122784.4827, 213432899.6176, 216310633.2678, 16101.2593, 759791.0, 755476.0
Tuesday, May 29, 2018 12:40:52 PM, 4.663574, D:/DDSI_Fresh_Fuel/022/GET_RATES_Files/15min_022-1.sorted.txt, 287976.3584, 0.0956, 20152.1417, 8.7398, -3948.5658, 129.9277, -25980.0945, 60.5028, 5459.2692, 387.7250, 2407.7742, 34.4806, 0.7342, 0.5390, 288491.3696, 288491.3696, 4977024.5127, 5007900.2817, 43188646.3165, 43720945.2722, 251119628.9664, 255813654.7280, 1099988206.3826, 1128111312.6965, 17590.6554, 1146071.0, 1139005.0
Tuesday, May 29, 2018 12:40:56 PM, 4.537415, D:/DDSI_Fresh_Fuel/022/GET_RATES_Files/15min_022-2.sorted.txt, 288039.9709, 0.1179, 19672.6533, 11.1826, -5075.8193, 107.2904, 11291.1408, 99.9682, 4272.9552, 737.9980, -780.8825, 32.3727, 0.7453, 0.5554, 286950.1563, 286950.1563, 4947055.7320, 4952069.9524, 42886166.4721, 42977861.4574, 249310915.6270, 250194960.2169, 1093660917.1465, 1099539009.0256, 19719.0721, 1108093.0, 1106971.0
Tuesday, May 29, 2018 12:40:59 PM, 4.537422, D:/DDSI_Fresh_Fuel/022/GET_RATES_Files/15min_022-3.sorted.txt, 288036.2715, 0.0871, 17391.5953, 11.1719, -7.2755, 76792.8540, -13412.6396, 94.8940, -43089.8461, 63.9773, -795.1490, 27.5697, 0.7668, 0.5880, 288366.9366, 288366.9366, 4994551.0691, 5002329.4853, 43506395.9856, 43608148.2612, 254175245.5161, 254777253.6311, 1120828093.8617, 1122687777.1594, 17656.7135, 1114499.0, 1112766.0
Tuesday, May 29, 2018 12:41:02 PM, 4.537424, D:/DDSI_Fresh_Fuel/022/GET_RATES_Files/15min_022-4.sorted.txt, 287707.2729, 0.0800, 19130.0157, 9.1585, -6187.6229, 80.1562, -20107.3688, 61.2422, -28470.1037, 123.2718, -819.6917, 36.6462, 0.7222, 0.5216, 288596.5670, 288596.5670, 4994949.9314, 5014060.9753, 43466106.9282, 43768359.3848, 253594537.1041, 255992027.9131, 1116012124.6656, 1128872785.9815, 18666.4129, 1114000.0, 1109754.0
Tuesday, May 29, 2018 12:41:05 PM, 4.663584, D:/DDSI_Fresh_Fuel/022/GET_RATES_Files/15min_022-5.sorted.txt, 287997.8269, 0.0870, 19649.2663, 10.8491, -4337.3268, 115.9189, -4824.1612, 371.9178, -1567.7543, 2108.2394, 1779.6273, 30.5760, 0.7541, 0.5686, 286198.7788, 286198.7788, 4918026.1698, 4939028.5188, 42529513.5302, 42881926.7821, 246539894.4804, 249464450.9529, 1076569334.2268, 1092509709.0834, 17814.9605, 1137966.0, 1133127.0
